# doc pdhd/12 -- ANSWER KEY for the pdhd STM + Michel scan.
# Committed on purpose: it is the record of the sample at arm d15hnu /
# HEAD c0b1613b, and a scan whose key lives only beside a work/ arm stops
# being scorable the day that arm is retired.
# THE BLIND ON THIS FILE IS AN HONOUR RULE, NOT A STRUCTURAL ONE, and doc
# pdhd/12 sec 6 says so.  What IS structural is the display: the viewer
# never opens this file, and the chain's answer reaches no data source
# unless REVEAL is on -- proved by poisoning it.  Do not open this while
# scanning, and that goes for an assistant reading it on your behalf.
scan_id	tranche	stratum	event	cluster	npts	muon_len_cm	is_stm	michel_found	michel_conn_type	michel_len	michel_ke_best	michel_kink_deg	n_dots	in_fv	reject_bits	reject_names	n_near	n_far
240	2	S4	029107_25	27	66	61.89	0	0	0	0.0	0.0	-1.0	0	1	520	shape_flat|profile_sparse	923	7793
242	2	S3	029107_25	93	61	38.3	0	1	1	1.75	1.3	88.0	0	1	520	shape_flat|profile_sparse	177	7833
243	2	S1	029107_25	109	173	103.48	1	1	2	2.48	1.24	-1.0	1	1	0	STM	1994	7737
248	2	S2	029107_26	43	163	93.44	1	0	0	0.0	0.0	-1.0	0	1	0	STM	1228	7632
250	2	S4	029107_26	57	307	183.59	0	0	0	0.0	0.0	-1.0	0	1	1032	shape_flat|plateau_off_mip	953	7645
251	2	S4	029107_26	87	118	70.52	0	0	0	0.0	0.0	-1.0	0	0	76	no_bragg|shape_flat|stop_near_boundary	667	7660
252	2	S2	029107_26	88	146	86.16	1	0	0	0.0	0.0	-1.0	0	1	0	STM	1117	7637
254	2	S3	029107_27	64	70	39.96	0	1	1	16.58	19.81	100.5	0	1	520	shape_flat|profile_sparse	1119	7439
255	2	S4	029107_27	99	98	58.1	0	0	0	0.0	0.0	-1.0	0	1	8	shape_flat	1955	7947
256	2	S3	029107_28	30	29	16.25	0	1	2	0.08	0.1	-1.0	1	1	1036	no_bragg|shape_flat|plateau_off_mip	277	7862
258	2	S4	029107_28	54	93	54.22	0	0	0	0.0	0.0	-1.0	0	0	1092	no_bragg|stop_near_boundary|plateau_off_mip	254	7863
259	2	S4	029107_28	109	991	595.94	0	0	0	0.0	0.0	-1.0	0	1	8	shape_flat	8121	7863
260	2	S4	029107_29	35	929	553.77	0	0	0	0.0	0.0	-1.0	0	0	76	no_bragg|shape_flat|stop_near_boundary	3582	7521
261	2	S4	029107_29	68	127	107.26	0	0	0	0.0	0.0	-1.0	0	0	64	stop_near_boundary	153	7766
262	2	S4	029107_29	119	115	70.56	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	1171	7693
263	2	S3	029107_3	23	204	125.37	0	1	1	5.58	7.06	158.9	1	1	520	shape_flat|profile_sparse	1012	7741
264	2	S4	029107_3	86	277	176.71	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	2548	7638
268	2	S3	029107_4	24	248	146.86	0	1	2	5.74	29.47	-1.0	6	1	12	no_bragg|shape_flat	2075	7791
270	2	S3	029107_4	58	364	218.1	0	1	2	2.04	0.97	-1.0	1	1	8	shape_flat	5083	7614
271	2	S3	029107_4	69	116	68.88	0	1	1	7.86	20.88	76.1	0	1	8	shape_flat	1836	7805
273	2	S4	029107_4	118	120	70.87	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	711	7871
275	2	S3	029107_5	28	55	32.4	0	1	2	15.11	12.03	-1.0	1	1	1032	shape_flat|plateau_off_mip	151	7672
276	2	S4	029107_5	31	175	101.32	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	919	7624
277	2	S3	029107_5	32	326	195.4	0	1	1	3.89	7.01	102.1	0	1	8	shape_flat	5108	7853
278	2	S4	029107_5	37	663	396.11	0	0	0	0.0	0.0	-1.0	0	0	72	shape_flat|stop_near_boundary	4544	7891
279	2	S4	029107_5	39	64	37.8	0	0	0	0.0	0.0	-1.0	0	1	1036	no_bragg|shape_flat|plateau_off_mip	251	7666
280	2	S3	029107_5	42	118	160.94	0	1	2	0.2	2.03	-1.0	1	0	1088	stop_near_boundary|plateau_off_mip	279	7664
281	2	S4	029107_5	51	813	498.78	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	9484	7562
282	2	S4	029107_5	93	25	13.49	0	0	0	0.0	0.0	-1.0	0	1	1056	continuation|plateau_off_mip	383	7658
283	2	S4	029107_6	53	53	29.65	0	0	0	0.0	0.0	-1.0	0	1	1032	shape_flat|plateau_off_mip	708	7799
284	2	S3	029107_6	97	499	299.74	0	1	1	8.26	10.74	160.5	2	1	12	no_bragg|shape_flat	4238	7504
285	2	S4	029107_6	122	132	77.58	0	0	0	0.0	0.0	-1.0	0	1	8	shape_flat	899	7783
286	2	S3	029107_6	124	307	180.49	0	1	3	0.0	14.61	-1.0	0	0	76	no_bragg|shape_flat|stop_near_boundary	1847	7704
288	2	S4	029107_7	34	754	452.2	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	9381	7519
289	2	S4	029107_7	40	158	109.89	0	0	0	0.0	0.0	-1.0	0	1	1036	no_bragg|shape_flat|plateau_off_mip	639	7606
290	2	S3	029107_7	45	99	59.31	0	1	1	7.46	8.65	59.0	0	1	520	shape_flat|profile_sparse	155	7641
291	2	S3	029107_7	85	334	199.19	0	1	2	1.69	9.25	-1.0	2	1	12	no_bragg|shape_flat	1834	7521
292	2	S3	029107_8	39	30	17.17	0	1	1	1.2	1.53	43.2	0	1	1036	no_bragg|shape_flat|plateau_off_mip	169	7812
294	2	S4	029107_8	104	589	355.1	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	4869	7476
295	2	S3	029107_8	117	840	502.52	0	1	3	0.0	8.2	-1.0	0	0	76	no_bragg|shape_flat|stop_near_boundary	3391	7581
296	2	S4	029107_8	136	1119	677.05	0	0	0	0.0	0.0	-1.0	0	1	1036	no_bragg|shape_flat|plateau_off_mip	6404	7933
297	2	S4	029107_9	37	161	96.32	0	0	0	0.0	0.0	-1.0	0	0	76	no_bragg|shape_flat|stop_near_boundary	649	7702
298	2	S4	029107_9	61	1035	633.71	0	0	0	0.0	0.0	-1.0	0	1	514	stop_unmatched|profile_sparse	19690	7423
299	2	S4	029107_9	63	122	77.7	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	455	7715
300	2	S3	029107_9	109	405	242.17	0	1	1	8.79	17.1	116.0	0	1	12	no_bragg|shape_flat	2110	7605
302	2	S3	029107_9	117	696	416.62	0	1	2	2.48	9.83	-1.0	1	1	12	no_bragg|shape_flat	7221	7783
