# doc pdvd/55 -- STM + Michel hand scan, tranches 1+2, tag smx1a.
# verdict/kind/tags/pin read from the label ARTIFACT; confidence from the scan record.
scan_id	tranche	key	muon_len_cm	chain_is_stm	chain_reject	verdict	michel_kind	confidence	n_obj	muon	michel	gamma	delta_other	pin_rr	stop_d_face	entry_d_face	undershoot
511	2	039349_72/49	119.1	1	STM	STM_ONLY	none	high	1	1	0	0	0		42.3	3.1	0
512	2	039349_72/51	323.3	0	no_bragg|shape_flat	THRU	none	high	8	4	0	0	4		62.7	0.4	0
513	2	039349_72/54	90.7	0	no_bragg|shape_flat	THRU	none	medium	3	2	0	0	1		33.7	0.9	0
515	2	039349_73/25	121.6	0	no_bragg|shape_flat	THRU	none	high	4	2	0	0	2		113.5	127.5	0
516	2	039349_73/55	145.6	0	no_bragg|shape_flat	THRU	none	high	1	1	0	0	0		41.9	0.1	0
517	2	039349_73/60	26.4	1	STM	STM_ONLY	detached dots	medium	2	1	0	1	0		18.6	0.4	0
518	2	039349_73/62	115.9	1	STM	STM_MICHEL	both	high	3	1	1	1	0		45.9	0.7	0
519	2	039349_73/72	114.7	0	no_bragg|shape_flat	THRU	none	high	5	1	0	0	4		44.5	5.7	0
520	2	039349_74/28	242.4	0	no_bragg|shape_flat|plateau_off_mip	THRU	none	high	12	6	0	0	6		71.6	0.7	0
521	2	039349_74/47	162.9	0	no_bragg|shape_flat	THRU	none	high	1	1	0	0	0		114.5	2.4	0
522	2	039349_75/26	247.1	0	no_bragg|shape_flat	THRU	none	high	4	3	0	0	1		63.5	0.6	0
523	2	039349_75/69	331.3	0	no_bragg|shape_flat	THRU	none	medium	4	2	0	0	2		24.1	0.3	0
525	2	039349_75/73	177.4	0	no_bragg|shape_flat|stop_near_boundary	THRU	none	high	10	7	0	0	3		4.7	1.2	0
526	2	039349_76/23	285.9	0	no_bragg|shape_flat|vertex_hadron	THRU	none	medium	25	11	0	0	14		104.3	0.1	0
527	2	039349_76/25	173.3	0	shape_flat	STM_ONLY	none	medium	8	5	0	0	3		27.6	0.6	0
528	2	039349_76/27	194.7	0	no_bragg|shape_flat	THRU	none	medium	4	3	0	0	1		103.6	0.1	0
530	2	039349_77/20	169.3	0	no_bragg|shape_flat	THRU	none	medium	6	3	0	0	3		16.5	0.5	0
531	2	039349_77/26	301.4	0	shape_flat|plateau_off_mip	THRU	none	medium	6	3	0	0	3		78.6	0.1	0
532	2	039349_77/48	58.9	0	shape_flat|profile_sparse	THRU	none	medium	2	1	0	0	1		49.1	8.2	0
533	2	039349_77/52	41.1	0	plateau_off_mip	MESSY	none	medium	8	0	0	0	8		15.5	11.0	0
534	2	039349_77/63	154.5	0	shape_flat	STM_MICHEL	both	high	3	1	1	1	0		24.5	0.0	0
535	2	039349_78/22	163.5	0	shape_flat|continuation|stop_near_boundary	THRU	none	high	20	5	0	0	15		2.8	1.6	0
536	2	039349_79/26	147.5	0	no_bragg|shape_flat	THRU	none	low	20	8	0	0	12		79.9	4.5	0
537	2	039349_79/29	195.1	0	no_bragg|shape_flat	THRU	none	high	31	11	0	0	20		3.5	0.5	0
538	2	039349_79/71	291.9	0	no_bragg|shape_flat|plateau_off_mip	THRU	none	medium	10	6	0	0	4		100.4	6.8	0
539	2	039349_8/19	378.0	0	no_bragg|shape_flat	THRU	none	high	2	2	0	0	0		46.5	0.1	0
540	2	039349_8/52	326.2	0	no_bragg|shape_flat	THRU	none	high	4	3	0	0	1		70.4	0.3	0
541	2	039349_8/53	205.7	1	STM	STM_ONLY	none	high	2	2	0	0	0		80.9	0.1	0
542	2	039349_8/54	105.6	1	STM	STM_MICHEL	both	high	4	1	1	2	0		78.7	0.4	0
543	2	039349_80/27	34.9	0	no_bragg|shape_flat	THRU	none	medium	1	1	0	0	0		22.5	9.9	0
544	2	039349_80/48	54.4	0	shape_flat|plateau_off_mip	THRU	none	medium	4	3	0	0	1		62.1	8.2	0
545	2	039349_80/56	353.1	0	shape_flat	THRU	none	high	14	5	0	0	9		146.9	0.2	0
546	2	039349_80/70	299.6	0	no_bragg|shape_flat	THRU	none	medium	6	3	0	0	3		95.4	3.5	0
547	2	039349_81/14	187.6	0	no_bragg|shape_flat	THRU	none	high	6	5	0	0	1		93.8	0.2	0
548	2	039349_81/21	299.6	0	no_bragg|shape_flat	THRU	none	high	10	7	0	0	3		82.5	5.6	0
549	2	039349_81/25	84.3	0	no_bragg|shape_flat	STM_MICHEL	none	medium	3	2	0	0	1	6.25	25.0	9.7	0
550	2	039349_81/41	37.6	0	shape_flat	STM_MICHEL	attached	medium	2	1	1	0	0		22.7	4.7	0
551	2	039349_81/44	153.9	0	shape_flat	STM_MICHEL	attached	medium	7	1	1	0	5	7.59	59.1	0.2	0
552	2	039349_81/45	124.2	0	shape_flat|profile_sparse	MESSY	none	high	35	0	0	0	35		85.7	0.2	0
553	2	039349_81/51	72.2	0	no_bragg|shape_flat	THRU	none	medium	14	3	0	0	11		57.3	0.5	0
555	2	039349_82/25	99.5	0	no_bragg|shape_flat	STM_ONLY	none	medium	2	2	0	0	0		39.7	0.0	0
556	2	039349_82/41	212.7	1	STM	STM_ONLY	none	high	9	4	0	0	5		61.2	1.8	0
557	2	039349_82/48	255.5	1	STM	STM_MICHEL	both	high	12	3	2	5	2		128.6	0.2	0
559	2	039349_82/54	11.2	0	shape_flat	STM_MICHEL	both	medium	5	1	3	1	0		8.6	0.2	0
560	2	039349_82/60	451.5	0	no_bragg|shape_flat	STM_ONLY	none	medium	6	5	0	0	1		70.6	0.4	0
561	2	039349_83/23	210.7	0	no_bragg|shape_flat	THRU	none	high	11	4	0	0	7		57.9	0.3	0
562	2	039349_83/49	77.0	0	no_bragg|shape_flat	THRU	none	high	6	3	0	0	3		33.8	0.2	0
563	2	039349_83/53	172.9	0	shape_flat|stop_near_boundary|profile_sparse	THRU	none	medium	16	7	0	0	9		3.2	29.5	0
565	2	039349_83/68	67.2	0	no_bragg|shape_flat	THRU	none	high	6	4	0	0	2		30.8	0.6	0
566	2	039349_9/19	39.6	0	no_bragg|shape_flat	STM_MICHEL	both	medium	7	2	1	2	2		24.7	6.9	0
567	2	039349_9/20	191.3	1	STM	STM_ONLY	none	medium	9	5	0	0	4		11.8	0.2	0
569	2	039349_9/55	130.7	1	STM	STM_MICHEL	both	high	6	1	3	2	0		78.5	0.1	0
